S.No.,Factory Name,Factory Type,Code No.,Capacity,Started CrushingDate,City,Address,PhoneNo.,Email ID,Web Address,Crop Area,Required no of workers
119,Sadashivrao Mandlik Kagal Taluka SSK Ltd.,Cooperative,50801,2500,19-10-2000,Kagal,Hamidwada,02325-223111-13,klp_smktssk@sancharnet.in,,,
120,D.R.K.Panchaganga S.S.K.Ltd;,Cooperative,16201,5000,,Hatkangale,,,,,,
121,kams sugur co.pvt.Ltd,Cooperative,9999,150,,Kagal,,(07325)223568,,,,
122,Kumbhi Kasari,Cooperative,16301,3000,,Select,,,,,,
123,Sharad SSK Ltd.,Cooperative,52501,2500,,Select,,,,,,
124,Shri Datta Shetkari S.S.K.Ltd;,Cooperative,16601,7000,,Shirol,,,,,,
125,Udaysingrao Gaikawad SSK Ltd.,Cooperative,46301,2500,,Select,,,,,,
126,Gurudatta Sugars Ltd.,Private,55301,2500,,Shirol,,,,,,
127,Indira Gandhi Bharatiya Mahila Vikas SSK Ltd.,Cooperative,53005,2500,,Select,,,,,,
128,Shree Tatyasaheb Kore Warana SSK Ltd.,Cooperative,16101,7000,,Select,,,,,,
129,Mangaga SSK Ltd.,Cooperative,15801,1250,1986,Select,,2343220340,san_mansugar1@sancharnet.in,,,
130,Kisanveer Satara SSK Ltd.,Cooperative,15001,4000,,Select,,,,,,
131,Sarvodaya SSK Ltd.,Cooperative,53007,2500,,Select,,,,,,
132,Ninaidevi SSK Ltd.,Cooperative,51001,1750,,Select,,,,,,
133,Kranti,Cooperative,53002,2500,,Select,,,,,,
134,Shri Mahankali SSK Ltd.,Cooperative,16001,1250,,Select,,,,,,
135,Mohanrao Shinde SSK Ltd.,Cooperative,53008,2500,,Select,,,,,,
136,"Yeshwant SSK Ltd.,Khanapur",Cooperative,15901,1250,,Select,,,,,,
137,Dongrai Sagareshwar SSK Ltd.,Cooperative,46901,2500,,Select,,,,,,
138,Rajaram Bapu Patil SSK Ltd.,Cooperative,31201,2500,,Select,,,,,,
139,Vasantdada Shetkari SSK Ltd.,Cooperative,15401,5000,,Select,,,,,,
